customer_id,customer_name,monthly_income,monthly_expenses,savings_balance,investment_balance,total_debt,payment_history_score,credit_utilization_ratio,credit_age_months,credit_score,risk_score,financial_health_score,loan_approved
SYN0276,Synthetic Customer 276,28370,12227,40145,19560,37735,0.96,0.33,85,617,5,70,1
SYN0277,Synthetic Customer 277,126506,53656,506657,146679,330109,0.99,0.97,97,563,6,75,1
SYN0278,Synthetic Customer 278,20556,12448,33029,8795,13266,0.95,0.07,91,619,5,60,1
SYN0279,Synthetic Customer 279,75194,66917,35311,8080,491272,0.72,0.5,19,525,6,45,0
SYN0280,Synthetic Customer 280,60006,31928,68909,21772,348980,0.91,0.38,33,610,5,60,1
SYN0281,Synthetic Customer 281,76441,79853,39421,4460,724376,0.59,0.6,22,484,6,15,0
SYN0282,Synthetic Customer 282,61392,36482,143426,38200,361439,0.88,0.63,48,573,6,70,0
SYN0283,Synthetic Customer 283,69290,61258,32671,15270,453993,0.67,0.59,17,516,6,45,0
SYN0284,Synthetic Customer 284,74676,54534,48423,23211,374721,0.75,0.79,56,531,6,50,0
SYN0285,Synthetic Customer 285,461778,434881,33561,5050,2222478,0.81,0.78,4,485,6,10,0
SYN0286,Synthetic Customer 286,451257,484953,57872,28496,3624848,0.81,0.54,23,484,6,15,0
SYN0287,Synthetic Customer 287,34458,20380,48377,21548,63591,0.97,0.17,114,626,5,60,1
SYN0288,Synthetic Customer 288,197644,117614,719206,173852,284335,1.0,0.43,25,592,5,75,1
SYN0289,Synthetic Customer 289,117826,43195,458186,180267,236686,0.96,0.45,74,613,5,75,1
SYN0290,Synthetic Customer 290,462388,437059,110718,19361,2736089,0.72,0.95,7,467,6,15,0
SYN0291,Synthetic Customer 291,52828,31356,74994,31649,166129,0.79,0.11,58,626,5,60,1
SYN0292,Synthetic Customer 292,28804,25637,14001,6956,154170,0.6,0.12,5,555,6,45,0
SYN0293,Synthetic Customer 293,63816,35247,56684,15140,281776,0.76,0.41,23,601,5,60,0
SYN0294,Synthetic Customer 294,407399,370226,60044,19405,1852507,0.73,0.01,13,569,6,15,0
SYN0295,Synthetic Customer 295,48241,35008,99169,6668,126643,0.9,0.54,35,555,6,60,1
SYN0296,Synthetic Customer 296,59986,32043,108410,41884,249670,0.78,0.39,37,608,5,70,0
SYN0297,Synthetic Customer 297,66135,69683,24497,11566,575767,0.74,0.91,18,451,6,25,0
SYN0298,Synthetic Customer 298,85113,33530,175235,48929,35833,0.97,0.51,77,665,4,75,1
SYN0299,Synthetic Customer 299,19517,11172,43235,17608,22796,0.97,0.64,58,525,6,70,1
SYN0300,Synthetic Customer 300,20467,11193,31451,7389,15452,0.96,0.86,37,536,6,60,1
SYN0301,Synthetic Customer 301,271583,260322,25025,10699,1709776,0.75,0.68,26,493,6,5,0
SYN0302,Synthetic Customer 302,456219,433488,61906,7226,3385249,0.69,0.28,34,536,6,0,0
SYN0303,Synthetic Customer 303,42047,43485,14270,4057,357745,0.66,0.12,3,532,6,15,0
SYN0304,Synthetic Customer 304,91186,95470,20071,681,797743,0.73,0.44,6,498,6,0,0
SYN0305,Synthetic Customer 305,253695,284340,39799,1056,1214730,0.73,0.35,5,492,6,0,0
SYN0306,Synthetic Customer 306,261544,296248,14873,4816,1959323,0.81,0.85,27,442,6,0,0
SYN0307,Synthetic Customer 307,70380,38129,68403,3890,221344,0.84,0.53,50,594,5,50,0
SYN0308,Synthetic Customer 308,58356,51750,9360,780,520446,0.54,0.75,13,499,6,20,0
SYN0309,Synthetic Customer 309,122698,68724,203285,32725,382558,0.91,0.33,55,611,5,60,1
SYN0310,Synthetic Customer 310,456617,430430,69303,24587,3019837,0.74,0.63,5,500,6,25,0
SYN0311,Synthetic Customer 311,470329,529092,78417,29798,3673797,0.89,0.33,0,493,6,15,0
SYN0312,Synthetic Customer 312,170179,83464,631404,280192,520812,0.94,0.96,51,560,6,75,1
SYN0313,Synthetic Customer 313,340790,339719,23194,2139,2122130,0.77,0.49,21,504,6,0,0
SYN0314,Synthetic Customer 314,62043,20466,249537,16284,102649,0.99,0.16,82,642,5,75,1
SYN0315,Synthetic Customer 315,162145,58484,596520,158264,77000,0.92,0.92,59,617,5,75,1
SYN0316,Synthetic Customer 316,144485,54198,366795,43391,470108,0.91,0.62,116,599,5,75,1
SYN0317,Synthetic Customer 317,58130,40496,108508,31248,139739,0.72,0.59,45,556,6,60,1
SYN0318,Synthetic Customer 318,52113,26508,215830,55353,185384,0.97,0.48,53,606,5,75,1
SYN0319,Synthetic Customer 319,246835,276264,6067,1225,1259867,0.64,0.77,8,451,6,0,0
SYN0320,Synthetic Customer 320,34483,22729,21215,7210,163451,0.79,0.22,59,602,5,50,0
SYN0321,Synthetic Customer 321,431936,500177,8986,1008,1763263,0.78,0.39,27,483,6,0,0
SYN0322,Synthetic Customer 322,38327,33510,14823,4923,229624,0.68,0.61,24,517,6,45,0
SYN0323,Synthetic Customer 323,129075,46677,436910,102695,87658,0.93,0.06,54,682,4,75,1
SYN0324,Synthetic Customer 324,402315,375691,48237,17310,2595278,0.87,0.02,23,564,6,15,0
SYN0325,Synthetic Customer 325,37299,34167,18775,8951,254384,0.7,0.76,24,494,6,35,0
SYN0326,Synthetic Customer 326,54375,25893,67950,3962,42231,0.99,0.4,60,639,5,50,1
SYN0327,Synthetic Customer 327,28612,15080,61958,17617,43984,0.96,0.28,75,617,5,70,1
SYN0328,Synthetic Customer 328,184035,106055,866349,171311,102941,0.94,0.63,107,626,5,75,1
SYN0329,Synthetic Customer 329,131309,66915,502631,15179,400135,0.92,0.92,38,561,6,75,1
SYN0330,Synthetic Customer 330,228850,227199,40736,3913,1637458,0.6,0.14,0,538,6,0,0
SYN0331,Synthetic Customer 331,62532,49144,96387,47236,326339,0.76,0.37,59,562,6,60,1
SYN0332,Synthetic Customer 332,57695,23107,158405,34465,108805,0.97,0.58,33,596,5,75,1
SYN0333,Synthetic Customer 333,438654,462005,5836,683,3388570,0.71,0.26,6,515,6,0,0
SYN0334,Synthetic Customer 334,37089,22877,64837,1443,45292,0.99,0.02,41,630,5,40,1
SYN0335,Synthetic Customer 335,390828,396648,14077,7024,3153813,0.61,0.8,26,470,6,0,0
SYN0336,Synthetic Customer 336,51089,29349,114875,54132,181456,0.72,0.38,44,602,5,70,0
SYN0337,Synthetic Customer 337,44626,33081,105609,4517,260378,0.92,0.86,31,520,6,70,1
SYN0338,Synthetic Customer 338,194989,85214,492953,205653,204688,0.93,0.62,83,596,5,70,1
SYN0339,Synthetic Customer 339,97554,106485,58402,24001,831574,0.77,0.76,7,457,6,25,0
SYN0340,Synthetic Customer 340,30417,23716,19559,157,132300,0.94,0.01,54,599,5,25,1
SYN0341,Synthetic Customer 341,33624,28969,19833,981,229151,0.79,0.15,8,564,6,25,0
SYN0342,Synthetic Customer 342,61508,35452,272494,97646,115089,0.95,0.74,98,570,6,75,1
SYN0343,Synthetic Customer 343,182494,62057,757690,297701,49162,0.91,0.66,40,662,2,100,1
SYN0344,Synthetic Customer 344,49115,28403,57317,22961,259471,0.91,0.33,40,606,5,60,1
SYN0345,Synthetic Customer 345,34894,27324,29485,1785,180490,0.74,0.17,41,581,5,50,1
SYN0346,Synthetic Customer 346,263300,279302,60957,10102,1210298,0.74,0.85,5,454,6,5,0
SYN0347,Synthetic Customer 347,74961,44321,140062,28183,342713,0.91,0.33,17,601,5,70,0
SYN0348,Synthetic Customer 348,71936,68629,29228,2848,435126,0.51,0.41,14,520,6,5,0
SYN0349,Synthetic Customer 349,39513,22326,56398,26011,9663,0.91,0.02,64,717,1,85,1
SYN0350,Synthetic Customer 350,42984,32113,54591,21125,200695,0.72,0.58,16,545,6,60,0
SYN0351,Synthetic Customer 351,101839,58124,284777,86913,47217,0.91,0.93,30,600,5,70,1
SYN0352,Synthetic Customer 352,67610,42590,128727,25082,283019,0.87,0.18,25,609,5,70,0
SYN0353,Synthetic Customer 353,56681,52928,5054,2527,439148,0.57,0.3,13,535,6,15,0
SYN0354,Synthetic Customer 354,30696,12839,57446,6535,10110,0.96,0.79,67,645,3,85,1
SYN0355,Synthetic Customer 355,15639,10897,48114,17842,13478,0.98,0.35,108,528,6,70,1
SYN0356,Synthetic Customer 356,25538,13190,41666,7176,19544,0.9,0.8,71,575,6,70,1
SYN0357,Synthetic Customer 357,173649,79675,687759,83689,624889,0.91,0.65,58,591,5,75,1
SYN0358,Synthetic Customer 358,39151,16317,140604,50911,20616,0.94,0.83,58,621,5,75,1
SYN0359,Synthetic Customer 359,45502,30839,93332,38768,223481,0.71,0.7,48,549,6,70,0
SYN0360,Synthetic Customer 360,21168,13780,66572,20254,49298,0.92,0.05,43,576,6,70,1
SYN0361,Synthetic Customer 361,69430,39272,107450,40247,166802,0.75,0.14,57,629,5,60,0
SYN0362,Synthetic Customer 362,27806,22427,9786,908,255889,0.75,0.85,2,494,6,25,0
SYN0363,Synthetic Customer 363,71851,70112,14509,1290,456145,0.72,0.44,20,513,6,0,0
SYN0364,Synthetic Customer 364,366347,348857,85175,40220,2538451,0.84,0.23,11,539,6,25,0
SYN0365,Synthetic Customer 365,360863,404238,25507,29,1606922,0.88,0.94,25,435,6,0,0
SYN0366,Synthetic Customer 366,16061,7301,31539,10016,31176,0.92,0.56,99,534,6,70,1
SYN0367,Synthetic Customer 367,51703,37412,53170,5501,306938,0.86,0.95,57,516,6,60,1
SYN0368,Synthetic Customer 368,205974,201764,12335,2102,808533,0.84,0.72,3,484,6,0,0
SYN0369,Synthetic Customer 369,429753,481226,99953,32314,3371777,0.86,0.35,24,494,6,15,0
SYN0370,Synthetic Customer 370,175695,94281,576455,118270,479590,0.92,0.08,28,638,5,75,1
SYN0371,Synthetic Customer 371,22631,20268,12922,1393,116689,0.77,0.17,2,518,6,35,0
SYN0372,Synthetic Customer 372,18050,9050,64342,23085,38694,0.9,0.93,57,503,6,75,1
SYN0373,Synthetic Customer 373,29227,13068,42175,6225,14418,0.94,0.55,105,652,5,70,1
SYN0374,Synthetic Customer 374,56899,50595,3274,1125,380422,0.75,0.16,11,558,6,20,0
SYN0375,Synthetic Customer 375,162094,52889,675288,251830,364764,0.92,0.04,45,651,5,75,1
SYN0376,Synthetic Customer 376,30739,28958,2130,964,263353,0.65,0.66,2,497,6,15,0
SYN0377,Synthetic Customer 377,27698,12615,92100,29214,24556,0.9,0.44,69,613,5,75,1
SYN0378,Synthetic Customer 378,47600,31857,41508,3168,233587,0.72,0.35,46,586,5,50,1
SYN0379,Synthetic Customer 379,22455,12711,72258,27435,44105,1.0,0.68,96,541,6,70,1
SYN0380,Synthetic Customer 380,22721,12334,31570,11703,49228,0.9,0.57,102,558,6,60,1
SYN0381,Synthetic Customer 381,37201,25848,57805,14714,84751,0.92,0.97,63,521,6,60,1
SYN0382,Synthetic Customer 382,38269,19624,28359,3308,185958,0.95,0.62,50,591,5,50,1
SYN0383,Synthetic Customer 383,28783,23777,9608,2262,214429,0.66,0.91,0,489,6,35,0
SYN0384,Synthetic Customer 384,34253,19070,75597,9712,34070,0.96,0.58,48,587,5,70,1
SYN0385,Synthetic Customer 385,197504,105440,795681,180286,616787,0.99,0.27,107,627,5,75,1
SYN0386,Synthetic Customer 386,499904,541240,4495,589,2460521,0.79,0.68,25,469,6,0,0
SYN0387,Synthetic Customer 387,153754,87158,367991,124575,131503,0.99,0.89,26,566,6,70,1
SYN0388,Synthetic Customer 388,59722,53348,30201,11220,532691,0.53,0.86,4,486,6,45,0
SYN0389,Synthetic Customer 389,78079,80593,15031,4955,647918,0.69,0.19,6,526,6,15,0
SYN0390,Synthetic Customer 390,453996,512038,94488,33768,3423530,0.84,0.07,32,521,6,15,0
SYN0391,Synthetic Customer 391,271119,307490,34114,5693,1716082,0.66,0.83,3,441,6,5,0
SYN0392,Synthetic Customer 392,32167,20488,72454,17955,158798,0.79,0.46,37,581,5,70,0
SYN0393,Synthetic Customer 393,113422,46700,378665,124408,72510,0.96,0.35,44,656,5,75,1
SYN0394,Synthetic Customer 394,31847,28201,7386,2343,177768,0.73,0.22,7,552,6,35,0
SYN0395,Synthetic Customer 395,74413,41821,131923,1166,316092,0.82,0.14,23,627,5,45,0
SYN0396,Synthetic Customer 396,46540,31763,106921,46489,231111,0.86,0.43,36,575,6,70,1
SYN0397,Synthetic Customer 397,332119,320648,24083,10217,2025614,0.72,0.11,32,550,6,5,0
SYN0398,Synthetic Customer 398,93591,93048,34200,3542,583323,0.64,0.34,8,519,6,5,0
SYN0399,Synthetic Customer 399,56291,49442,24016,4895,511313,0.56,0.52,7,524,6,35,0
SYN0400,Synthetic Customer 400,155931,77678,569260,260766,404893,1.0,0.26,77,632,5,75,1
SYN0401,Synthetic Customer 401,403567,452406,56469,26739,3379800,0.66,0.72,14,456,6,15,0
SYN0402,Synthetic Customer 402,35916,22823,121240,33247,57913,0.93,0.18,120,616,5,70,1
SYN0403,Synthetic Customer 403,20935,10219,48775,23762,37226,0.98,0.76,59,535,6,70,1
SYN0404,Synthetic Customer 404,31704,27477,4248,1722,284793,0.74,0.33,8,545,6,35,0
SYN0405,Synthetic Customer 405,24635,13281,36525,2333,3173,0.95,0.2,51,688,1,75,1
SYN0406,Synthetic Customer 406,477787,472773,6199,562,3679127,0.9,0.35,36,521,6,0,0
SYN0407,Synthetic Customer 407,275090,273691,47249,15977,2018862,0.7,0.98,20,456,6,15,0
SYN0408,Synthetic Customer 408,51235,22318,100101,37767,142676,0.98,0.49,35,605,5,70,1
SYN0409,Synthetic Customer 409,70270,44278,96476,31286,277179,0.8,0.05,24,622,5,60,1
SYN0410,Synthetic Customer 410,134466,70870,418420,1081,8672,0.96,0.25,112,724,1,70,1
SYN0411,Synthetic Customer 411,60906,51080,14016,1368,464445,0.52,0.05,9,579,6,25,0
SYN0412,Synthetic Customer 412,472780,510087,38333,4384,3717126,0.7,0.89,22,448,6,0,0
SYN0413,Synthetic Customer 413,40805,32008,91924,14969,157189,0.76,0.98,25,498,6,60,0
SYN0414,Synthetic Customer 414,31535,14212,65587,2448,49235,0.94,0.64,104,596,5,60,1
SYN0415,Synthetic Customer 415,16592,9593,21820,323,4305,0.9,0.12,92,638,2,60,1
SYN0416,Synthetic Customer 416,264799,281795,30148,11390,1147906,0.81,0.02,26,538,6,5,0
SYN0417,Synthetic Customer 417,186395,71015,630067,55005,92039,0.95,0.62,60,645,5,75,1
SYN0418,Synthetic Customer 418,77856,34982,264119,52867,218047,0.94,0.41,44,614,5,75,1
SYN0419,Synthetic Customer 419,193691,86949,377251,86665,650656,0.92,0.02,35,652,5,70,1
SYN0420,Synthetic Customer 420,179526,61890,273651,26552,330711,0.99,0.64,82,594,5,70,1
SYN0421,Synthetic Customer 421,54619,51302,3270,80,307972,0.76,0.36,21,529,6,10,0
SYN0422,Synthetic Customer 422,75836,77471,4322,187,640008,0.5,0.15,20,533,6,0,0
SYN0423,Synthetic Customer 423,51539,31297,71530,6091,239063,0.79,0.35,19,596,5,60,1
SYN0424,Synthetic Customer 424,439357,431250,40672,13819,3375678,0.79,0.79,7,476,6,5,0
SYN0425,Synthetic Customer 425,75624,54292,178988,13593,411368,0.8,0.59,48,553,6,70,1
SYN0426,Synthetic Customer 426,70063,43013,87261,8562,175419,0.82,0.49,38,583,5,60,1
SYN0427,Synthetic Customer 427,66603,25208,155268,68788,168934,0.98,0.58,96,601,5,75,1
SYN0428,Synthetic Customer 428,73898,56306,113387,40516,360450,0.72,0.66,27,535,6,60,1
SYN0429,Synthetic Customer 429,70446,59498,34931,1788,639783,0.5,0.93,16,490,6,25,0
SYN0430,Synthetic Customer 430,459960,533932,8264,1973,2741320,0.7,0.28,32,493,6,0,0
SYN0431,Synthetic Customer 431,66077,45791,87611,30087,214485,0.81,0.57,17,557,6,60,1
SYN0432,Synthetic Customer 432,365707,342159,43654,3363,2463471,0.72,0.05,35,562,6,10,0
SYN0433,Synthetic Customer 433,73827,39684,344581,133257,169443,0.96,0.65,82,586,5,75,1
SYN0434,Synthetic Customer 434,67624,70842,33132,10878,598656,0.67,0.62,15,481,6,25,0
SYN0435,Synthetic Customer 435,79314,66164,36134,11185,465127,0.61,0.63,9,522,6,45,0
SYN0436,Synthetic Customer 436,32104,16442,46716,16135,69104,0.91,0.71,88,585,5,60,1
SYN0437,Synthetic Customer 437,116660,56376,218755,51497,390668,0.92,0.82,48,573,6,70,1
SYN0438,Synthetic Customer 438,34125,35051,952,344,267524,0.68,0.77,14,470,6,0,0
SYN0439,Synthetic Customer 439,464344,436664,55590,1591,2853741,0.77,0.43,30,522,6,10,0
SYN0440,Synthetic Customer 440,20806,12640,33638,3393,40708,0.94,0.6,77,530,6,60,1
SYN0441,Synthetic Customer 441,27604,14508,73470,16268,45878,0.93,0.95,73,545,6,70,1
SYN0442,Synthetic Customer 442,269925,254121,39032,16786,2120233,0.69,0.7,20,494,6,25,0
SYN0443,Synthetic Customer 443,35728,16620,60855,22498,61256,0.93,0.67,119,594,5,70,1
SYN0444,Synthetic Customer 444,63023,41768,110062,49858,312422,0.79,0.48,48,575,6,60,1
SYN0445,Synthetic Customer 445,24369,16162,53946,3488,746,0.9,0.15,43,676,1,95,1
SYN0446,Synthetic Customer 446,47496,34437,42256,8210,162997,0.74,0.07,30,601,5,60,0
SYN0447,Synthetic Customer 447,16058,8151,36712,7350,23744,0.97,0.56,66,530,6,70,1
SYN0448,Synthetic Customer 448,37810,18386,105670,25398,84072,0.94,0.78,76,580,5,70,1
SYN0449,Synthetic Customer 449,16762,6769,30225,12794,24964,0.99,0.44,64,547,6,70,1
SYN0450,Synthetic Customer 450,97120,93622,35160,6340,827996,0.59,0.18,21,542,6,15,0
SYN0451,Synthetic Customer 451,99014,58293,380836,10652,42543,0.94,0.56,40,638,4,80,1
SYN0452,Synthetic Customer 452,68272,51463,41656,5072,278467,0.71,0.92,50,512,6,40,0
SYN0453,Synthetic Customer 453,36688,17989,113577,4776,48442,0.98,0.32,64,625,5,75,1
SYN0454,Synthetic Customer 454,64118,33370,96770,35195,249890,0.8,0.35,25,614,5,60,1
SYN0455,Synthetic Customer 455,67290,59758,38367,15560,522691,0.8,0.82,20,493,6,45,0
SYN0456,Synthetic Customer 456,80073,40091,224556,80439,260732,0.99,0.25,29,629,5,70,1
SYN0457,Synthetic Customer 457,69987,75220,39682,17702,465567,0.72,0.03,16,534,6,25,0
SYN0458,Synthetic Customer 458,87411,90981,23367,10674,437971,0.56,0.51,3,492,6,25,0
SYN0459,Synthetic Customer 459,65256,43066,112793,41255,206131,0.89,0.86,39,537,6,60,0
SYN0460,Synthetic Customer 460,65242,48841,142328,57047,330708,0.86,0.93,59,513,6,60,0
SYN0461,Synthetic Customer 461,170383,87757,227698,23329,44928,0.98,0.56,97,674,1,85,1
SYN0462,Synthetic Customer 462,46950,29216,66294,20735,181039,0.7,0.67,46,563,6,60,0
SYN0463,Synthetic Customer 463,17072,10700,44480,2378,28717,0.94,0.5,73,517,6,70,1
SYN0464,Synthetic Customer 464,99503,82184,45688,12947,686654,0.75,0.04,5,582,5,45,0
SYN0465,Synthetic Customer 465,22204,9790,47480,17882,42497,0.93,0.63,74,556,6,70,1
SYN0466,Synthetic Customer 466,21461,20732,7147,20,115707,0.67,0.4,17,476,6,0,0
SYN0467,Synthetic Customer 467,129872,47145,502494,55505,339404,0.94,0.64,89,595,5,75,1
SYN0468,Synthetic Customer 468,40548,22512,69353,7511,134208,0.75,0.79,15,562,6,70,1
SYN0469,Synthetic Customer 469,17396,8475,23687,9512,4099,0.95,0.33,52,636,2,85,1
SYN0470,Synthetic Customer 470,36556,21405,26527,7960,113199,0.81,0.61,31,576,6,60,0
SYN0471,Synthetic Customer 471,33574,17100,65778,316,34511,0.93,0.78,118,581,5,45,1
SYN0472,Synthetic Customer 472,345059,397519,11122,3931,2456222,0.74,0.36,19,486,6,0,0
SYN0473,Synthetic Customer 473,489234,456283,75798,18390,1953743,0.86,0.15,34,553,6,15,0
SYN0474,Synthetic Customer 474,47251,34023,81645,1220,237140,0.91,0.63,49,548,6,40,1
SYN0475,Synthetic Customer 475,21971,14762,55450,17684,28657,0.95,0.77,82,507,6,70,1
SYN0476,Synthetic Customer 476,317076,370164,44867,4387,2446047,0.74,0.51,25,469,6,0,0
SYN0477,Synthetic Customer 477,85820,68928,12300,5030,809042,0.71,0.75,4,516,6,35,0
SYN0478,Synthetic Customer 478,283478,270365,64545,31710,1917780,0.64,0.73,22,489,6,25,0
SYN0479,Synthetic Customer 479,107362,56734,218406,30673,102174,0.9,0.21,70,635,5,70,1
SYN0480,Synthetic Customer 480,446244,524502,94412,42501,1691953,0.7,0.7,33,449,6,15,0
SYN0481,Synthetic Customer 481,54513,53073,18648,6201,360220,0.61,0.65,2,491,6,25,0
SYN0482,Synthetic Customer 482,23243,11921,78500,23127,28804,0.98,0.35,97,588,5,75,1
SYN0483,Synthetic Customer 483,15216,8377,23334,1263,6047,0.95,0.29,55,603,4,55,1
SYN0484,Synthetic Customer 484,40312,24536,76235,15095,113921,0.8,0.33,19,598,5,70,1
SYN0485,Synthetic Customer 485,451145,434547,17458,367,3428770,0.67,0.14,10,545,6,0,0
SYN0486,Synthetic Customer 486,71257,46587,157010,21802,208691,0.76,0.19,37,604,5,70,0
SYN0487,Synthetic Customer 487,31239,27021,11368,3945,220634,0.55,0.82,19,497,6,45,0
SYN0488,Synthetic Customer 488,68184,50874,63233,8667,325560,0.74,0.68,41,537,6,60,0
SYN0489,Synthetic Customer 489,54786,33728,43578,16526,171395,0.87,0.82,50,550,6,60,0
SYN0490,Synthetic Customer 490,61186,47142,102771,34827,340188,0.83,0.13,42,588,5,60,0
SYN0491,Synthetic Customer 491,32671,21179,109536,42548,60757,0.94,0.42,41,583,5,70,1
SYN0492,Synthetic Customer 492,29056,13622,90815,24984,55059,0.94,0.8,109,576,6,75,1
SYN0493,Synthetic Customer 493,161539,54949,471323,225195,135215,0.91,0.6,93,615,5,75,1
SYN0494,Synthetic Customer 494,335164,320653,57043,18939,2476603,0.76,0.52,24,510,6,15,0
SYN0495,Synthetic Customer 495,75073,55650,100291,27923,208980,0.86,0.26,46,581,5,60,1
SYN0496,Synthetic Customer 496,26981,15745,96600,13349,25736,0.94,0.78,97,554,6,75,1
SYN0497,Synthetic Customer 497,54262,36232,79806,37856,323327,0.79,0.7,59,552,6,60,0
SYN0498,Synthetic Customer 498,110233,47838,409793,56218,64206,0.95,0.78,94,623,5,75,1
SYN0499,Synthetic Customer 499,37841,22907,50136,20836,35337,0.9,0.1,54,631,5,60,1
SYN0500,Synthetic Customer 500,428263,396760,27041,9978,2304058,0.61,0.39,25,529,6,15,0
SYN0501,Synthetic Customer 501,36501,20305,106139,50699,52340,0.98,0.64,92,584,5,70,1
SYN0502,Synthetic Customer 502,102876,57113,468160,51051,191899,0.9,0.6,90,588,5,75,1
SYN0503,Synthetic Customer 503,70317,38733,46754,9,229326,0.94,0.1,29,634,5,35,1
SYN0504,Synthetic Customer 504,71792,66166,8628,562,349896,0.78,0.55,23,514,6,10,0
SYN0505,Synthetic Customer 505,34101,17201,119758,39738,22630,1.0,0.46,87,646,5,75,1
SYN0506,Synthetic Customer 506,15152,7247,32987,2371,3871,0.95,0.34,50,622,2,95,1
SYN0507,Synthetic Customer 507,23444,15539,73885,29017,32346,1.0,0.56,67,536,6,70,1
SYN0508,Synthetic Customer 508,80142,80500,43109,15793,716286,0.53,0.08,20,543,6,25,0
SYN0509,Synthetic Customer 509,74362,52823,151720,46281,288876,0.83,0.02,28,609,5,60,0
SYN0510,Synthetic Customer 510,32190,29604,14462,4542,207354,0.78,0.48,11,520,6,35,0
SYN0511,Synthetic Customer 511,67598,39255,155800,24925,328471,0.82,0.21,59,619,5,70,0
SYN0512,Synthetic Customer 512,47102,40920,23596,5833,415176,0.55,0.11,2,566,6,45,0
SYN0513,Synthetic Customer 513,203472,229775,26441,7901,773776,0.71,0.32,36,496,6,5,0
SYN0514,Synthetic Customer 514,84330,72090,38670,13037,611682,0.57,0.58,1,522,6,45,0
SYN0515,Synthetic Customer 515,28866,15688,72102,25802,34810,0.99,0.77,94,568,6,70,1
SYN0516,Synthetic Customer 516,185844,81403,684121,110494,7908,0.94,0.11,70,742,0,100,1
SYN0517,Synthetic Customer 517,23509,10723,43041,20089,15200,0.93,0.19,90,643,5,70,1
SYN0518,Synthetic Customer 518,57465,40812,72989,18325,314653,0.81,0.57,48,556,6,60,0
SYN0519,Synthetic Customer 519,120765,65361,386354,51396,372283,0.91,0.95,43,552,6,70,1
SYN0520,Synthetic Customer 520,205107,195463,24593,10332,1718529,0.76,0.72,31,491,6,15,0
SYN0521,Synthetic Customer 521,52895,51236,18021,2676,355048,0.52,0.81,15,477,6,15,0
SYN0522,Synthetic Customer 522,167926,87888,358550,146143,217817,0.99,0.26,26,623,5,70,1
SYN0523,Synthetic Customer 523,263563,264967,42987,18902,1714942,0.77,0.65,11,486,6,15,0
SYN0524,Synthetic Customer 524,66544,59725,20380,7322,566873,0.77,0.38,9,534,6,45,0
SYN0525,Synthetic Customer 525,275942,320224,42423,13822,2223297,0.79,0.57,4,462,6,15,0
SYN0526,Synthetic Customer 526,92467,37272,215312,93117,217375,0.93,0.64,58,592,5,70,1
SYN0527,Synthetic Customer 527,390402,438955,48809,5482,2249256,0.66,0.03,15,524,6,0,0
SYN0528,Synthetic Customer 528,30494,26321,7264,3599,160357,0.64,0.06,24,574,6,45,0
SYN0529,Synthetic Customer 529,474717,536192,9484,1272,2307015,0.63,0.92,24,435,6,0,0
SYN0530,Synthetic Customer 530,50062,43765,8535,1075,390839,0.66,0.18,1,558,6,25,0
SYN0531,Synthetic Customer 531,62624,66335,17554,4463,562383,0.66,0.14,22,527,6,15,0
SYN0532,Synthetic Customer 532,20801,12007,47752,18480,37387,0.94,0.64,104,535,6,70,1
SYN0533,Synthetic Customer 533,65504,61868,8926,2522,342576,0.61,0.26,9,537,6,15,0
SYN0534,Synthetic Customer 534,50024,22860,196587,37586,24545,0.95,0.02,86,708,4,75,1
SYN0535,Synthetic Customer 535,357082,322352,36888,7576,1787562,0.84,0.55,12,517,6,15,0
SYN0536,Synthetic Customer 536,493891,509266,29621,10583,3472894,0.72,0.38,16,508,6,5,0
SYN0537,Synthetic Customer 537,160687,78350,491669,160750,462754,0.98,0.68,60,588,5,75,1
SYN0538,Synthetic Customer 538,23808,12472,77336,18978,10422,0.91,0.46,93,634,5,75,1
SYN0539,Synthetic Customer 539,84486,72348,983,273,425660,0.51,0.96,9,484,6,20,0
SYN0540,Synthetic Customer 540,36389,36918,15875,1234,215331,0.5,0.22,13,527,6,5,0
SYN0541,Synthetic Customer 541,85325,93805,23738,5410,733695,0.52,0.75,4,456,6,15,0
SYN0542,Synthetic Customer 542,119862,63849,174637,25191,202869,0.99,0.26,72,625,5,60,1
SYN0543,Synthetic Customer 543,81971,48557,309264,116119,113552,0.92,0.98,49,539,6,75,1
SYN0544,Synthetic Customer 544,249262,263305,58752,22329,1463058,0.89,0.93,10,448,6,15,0
SYN0545,Synthetic Customer 545,194069,88549,409859,52094,446100,0.94,0.06,109,654,5,70,1
SYN0546,Synthetic Customer 546,37400,21347,51667,9047,91788,0.85,0.4,27,599,5,60,0
SYN0547,Synthetic Customer 547,174589,88433,306922,65201,484461,0.92,0.1,103,649,5,70,1
SYN0548,Synthetic Customer 548,27871,22796,10778,879,227605,0.54,0.24,17,554,6,25,0
SYN0549,Synthetic Customer 549,77503,79049,992,370,512549,0.54,0.89,15,459,6,0,0
SYN0550,Synthetic Customer 550,493089,487376,82488,12230,2224287,0.76,0.33,29,523,6,5,0
SYN0551,Synthetic Customer 551,98470,105790,32762,2539,505210,0.63,0.81,17,456,6,5,0
SYN0552,Synthetic Customer 552,79517,63630,30440,3039,526355,0.76,0.62,11,530,6,25,0
